ccdVisitId,visitId,physical_filter,band,ra,dec,zenithDistance,zeroPoint,psfSigma,skyBg,skyNoise,astromOffsetMean,astromOffsetStd,nPsfStar,psfStarDeltaE1Median,psfStarDeltaE2Median,psfStarDeltaE1Scatter,psfStarDeltaE2Scatter,psfStarDeltaSizeMedian,psfStarDeltaSizeScatter,psfStarScaledDeltaSizeScatter,psfTraceRadiusDelta,maxDistToNearestPsf,decl,detector,seeing,skyRotation,expMidpt,expMidptMJD,expTime,obsStart,obsStartMJD,darkTime,xSize,ySize,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,nightObs,Time,airmass,tractID,patchID,selectedFlag,dayobsMJD
41616046592,2023080200634,SDSSg_65mm~empty,g,270.22552729877054,-24.97929688722081,43.93088,28.006964,7.0626945,64.10196,10.176744,0.035845038,0.019729597,56,-0.005657222,0.00019358192,0.023893705,0.022201642,0.009205663,0.115362704,0.016278623,0.17033274,1719.4152,-24.97929688722081,0,1.5917470112803975,359.99681760232,2023-08-03 05:17:38.282007,60159.220581967675,30.0,2023-08-03 05:17:23.282007,60159.22040835657,30.2379,4071,3999,270.16652657875073,-25.03312624651264,270.2859904196772,-25.03178191783299,270.2844763765125,-24.925444297339425,270.1651157861133,-24.926787464428244,20230802,2023-08-03 05:17:23.282007,1.3885470080860656,5634,91,False,60159
41616046848,2023080200635,SDSSi_65mm~empty,i,270.2257363149503,-24.97936270246362,44.089993,27.893864,5.532452,45.505802,9.797032,0.016636563,0.009109015,89,-0.00409168,-0.0028765798,0.01881462,0.01931116,-0.014570587,0.11364954,0.020387271,0.5499895,1048.8689,-24.97936270246362,0,1.2467338912589263,359.996817548989,2023-08-03 05:18:22.643497,60159.221095410845,30.0,2023-08-03 05:18:07.643497,60159.22092179974,30.2365,4071,3999,270.1667577020959,-25.033184665954966,270.28620189298795,-25.03184923822068,270.2846633114905,-24.92551752604337,270.16532234818993,-24.926851771884262,20230802,2023-08-03 05:18:07.643497,1.3922770776930729,5634,91,False,60159
41616047104,2023080200636,SDSSi_65mm~empty,i,270.2419749495237,-24.979377027663393,44.257484,27.899628,5.435675,45.7519,9.888198,0.016274223,0.010181097,73,-0.0028701015,0.0009853244,0.02204671,0.03157698,-0.04039279,0.08669871,0.015932675,0.525643,1035.4043,-24.979377027663393,0,1.224909253015375,359.996704468757,2023-08-03 05:19:13.172998,60159.22168024303,30.0,2023-08-03 05:18:58.172998,60159.22150663192,30.2357,4071,3999,270.1829990136809,-25.033196076277584,270.30244334059427,-25.03186356986323,270.30089927443845,-24.925534767958098,270.18155817231735,-24.92686608848605,20230802,2023-08-03 05:18:58.172998,1.3962370005044027,5634,91,False,60159
41616047360,2023080200637,SDSSg_65mm~empty,g,270.2418067311764,-24.979279817295748,44.416767,28.011616,6.627775,64.96133,10.230766,0.036074117,0.02128828,93,-0.0067877485,-0.0033636235,0.025252135,0.022037137,-0.00893817,0.110198945,0.016607728,0.32983294,856.4102,-24.979279817295748,0,1.4937481820761895,359.996669984748,2023-08-03 05:19:57.490000,60159.2221931713,30.0,2023-08-03 05:19:42.490000,60159.22201956019,30.234,4071,3999,270.18281398910983,-25.033106750624754,270.3022835869566,-25.031764853947628,270.3007478403615,-24.925429659630048,270.1813814954774,-24.926770377506823,20230802,2023-08-03 05:19:42.490000,1.4000349197258868,5634,91,False,60159
41616047616,2023080200638,SDSSr_65mm~empty,r,270.24194939806074,-24.979293801417768,44.575935,27.83283,6.6316667,42.66303,9.470925,0.025655877,0.015307939,89,0.0070390985,-0.008795693,0.020548156,0.021719558,0.003854538,0.09676391,0.014571764,0.056191437,1103.4004,-24.979293801417768,0,1.49436640056869,359.996523738268,2023-08-03 05:20:41.864005,60159.22270675932,30.0,2023-08-03 05:20:26.864005,60159.22253314821,30.2475,4071,3999,270.1829670163732,-25.033110975692054,270.302415170837,-25.03177088987009,270.30088016497945,-24.925453411205936,270.1815352277885,-24.926792318467907,20230802,2023-08-03 05:20:26.864005,1.4038616732547102,5634,91,False,60159
41616047872,2023080200639,SDSSr_65mm~empty,r,270.2582942312275,-24.97934459882341,44.74406,27.83165,5.891165,42.910034,9.482456,0.018982029,0.012187324,115,-0.004000041,-0.002717596,0.02791253,0.017638564,-0.00262014,0.083984435,0.014229101,0.31616688,945.5627,-24.97934459882341,0,1.3274111706913212,359.996508265925,2023-08-03 05:21:32.619001,60159.223294201394,30.0,2023-08-03 05:21:17.619001,60159.223120590286,30.2321,4071,3999,270.19932667567497,-25.033155513598295,270.31875916410996,-25.031827188245227,270.317210190952,-24.925510479670223,270.1978809054781,-24.926837615394444,20230802,2023-08-03 05:21:17.619001,1.407938388225746,5634,91,False,60159
41616048128,2023080200640,SDSSg_65mm~empty,g,270.25809958939817,-24.979275117706393,44.903526,27.9995,7.0421042,65.68206,10.257874,0.03872182,0.02177674,88,-3.170455e-05,0.0008247979,0.025402224,0.012529024,-0.033342265,0.11206976,0.015900292,0.41759297,978.5693,-24.979275117706393,0,1.5871484855579576,359.996521721648,2023-08-03 05:22:17.002000,60159.22380789352,30.0,2023-08-03 05:22:02.002000,60159.22363428241,30.2399,4071,3999,270.199108357842,-25.03310508934549,270.31857176406646,-25.031765386680316,270.3170391863695,-24.92542192303913,270.19767903574535,-24.92676044920885,20230802,2023-08-03 05:22:02.002000,1.41183833463397,5634,91,False,60159
41616048384,2023080200641,SDSSi_65mm~empty,i,270.25838520896906,-24.97939966022382,45.062485,27.902153,6.335899,47.68102,10.04982,0.017464077,0.010565624,63,-0.009262793,0.0003960058,0.020565908,0.021394875,-0.009668051,0.093188636,0.014542172,0.67407054,1132.1654,-24.97939966022382,0,1.4277651161403484,359.996514844846,2023-08-03 05:23:01.381508,60159.22432154523,30.0,2023-08-03 05:22:46.381508,60159.224147934125,30.2488,4071,3999,270.1994030084491,-25.033221154027608,270.318852639119,-25.031878065230753,270.3173157904522,-24.925554950590044,270.19796938376425,-24.926896858857482,20230802,2023-08-03 05:22:46.381508,1.4157583797514717,5634,91,False,60159
41616048640,2023080200642,SDSSi_65mm~empty,i,270.1441612127498,-24.94975161468546,45.339596,27.893831,5.9138927,48.002003,9.82657,0.012926818,0.0070482893,90,-0.0019226298,-0.0062475204,0.022762544,0.02283282,-0.04818252,0.11479521,0.019323446,0.7631358,986.1358,-24.94975161468546,0,1.3329493475214138,359.996333429522,2023-08-03 05:23:48.635003,60159.22486846069,30.0,2023-08-03 05:23:33.635003,60159.22469484958,30.2445,4071,3999,270.0851756871687,-25.003583504438485,270.2046249235568,-25.002239287142555,270.20309517608723,-24.89589652674624,270.08374904326496,-24.897239570226926,20230802,2023-08-03 05:23:33.635003,1.4226707639354819,5634,92,False,60159
41616048896,2023080200643,SDSSg_65mm~empty,g,270.14401456778256,-24.949640231354962,45.49873,27.998035,7.347525,66.76815,10.242692,0.040718414,0.023602402,61,-0.0017919466,-0.0033136304,0.014923741,0.013729477,0.008468904,0.07289203,0.009904841,0.39657596,2185.2183,-24.949640231354962,0,1.6557864246472516,359.996376127597,2023-08-03 05:24:32.953497,60159.22538140622,30.0,2023-08-03 05:24:17.953497,60159.22520779511,30.237,4071,3999,270.08505413087875,-25.003462407835446,270.20447001065435,-25.002129489347727,270.20292347394326,-24.89579487648957,270.08361066082665,-24.897126608414812,20230802,2023-08-03 05:24:17.953497,1.426686007021616,5634,92,False,60159
