,X(mm),Y(mm),degré,tag,Xpix,Ypix,Neff,Nefferr,NarrowScan
37,-15.020587655505587,3.2458971491565194,-0.1697791736709437,321,-1502.0587655505585,324.58971491565217,152.49494827586676,0.14051046421076654,True
38,-14.937495103344713,4.253820512719479,-0.1746795788322058,322,-1493.7495103344713,425.38205127194806,152.21901384120687,0.1266675211688783,True
39,-14.899517488294045,5.241173944560241,-0.1785281633448639,323,-1489.9517488294043,524.1173944560242,152.52034019054136,0.13573925288212316,True
40,-15.95911484206842,-1.0652281705738567,-0.1630140328352383,324,-1595.911484206842,-106.52281705738551,152.06406627675585,0.13876045320068048,True
41,-15.976251389378628,-0.07060212000482124,-0.167150145974624,325,-1597.6251389378629,-7.060212000481897,152.08846041115004,0.10708048856582668,True
42,-15.914033384506329,0.9254051700206212,-0.1693707179109727,326,-1591.4033384506329,92.54051700206219,152.05637857979184,0.1203537104700684,True
43,-15.86159814938322,2.9023654907772993,-0.1708701367944629,328,-1586.159814938322,290.23654907773016,152.2735879201218,0.11161488481102506,True
44,-15.86984772091057,3.8984732263751987,-0.1667784861820755,329,-1586.984772091057,389.84732263751994,152.24211619850604,0.12666735902959161,True
45,-15.824126622856205,4.905326428300519,-0.1727381139304542,330,-1582.4126622856206,490.5326428300518,151.93221614982298,0.12673443871428408,True
46,-16.93253361153383,-1.417820730303351,-0.1666221480649945,331,-1693.2533611533831,-141.78207303033514,152.37016876945228,0.13051128698759007,True
47,-16.91576692015534,-0.44918508894841125,-0.1659536799801578,332,-1691.5766920155338,-44.918508894841125,152.17377530344038,0.12341639874277158,True
48,-16.872015937555847,1.5424232390939778,-0.1698113378792886,334,-1687.2015937555848,154.24232390939778,152.20096491839064,0.12666843433929467,True
49,-16.87078334332998,2.549532206578178,-0.168754833421227,335,-1687.0783343329979,254.95322065781784,152.12002009378253,0.10918275794266419,True
50,-16.85186917091568,3.5242653330256424,-0.1700167627530156,336,-1685.186917091568,352.42653330256417,152.1674935914248,0.10647863979193292,True
51,-16.844366238135137,4.525361447057897,-0.171902880627346,337,-1684.4366238135135,452.53614470578987,151.92703465610762,0.11434482013334782,True
52,-17.898606227365615,-1.7716279162989785,-0.1722456639357787,338,-1789.8606227365615,-177.1627916298978,151.96673887771306,0.12336544655595977,True
53,-17.915104822241496,-0.775283683046144,-0.1800572804126469,339,-1791.5104822241494,-77.52836830461433,152.07168310637363,0.11098243046260854,True
54,-17.931286703515127,0.20387212345507777,-0.1756951939669614,340,-1793.1286703515127,20.387212345508033,152.05729765586045,0.10918465264346561,True
55,-17.86412521165848,1.2147553730893605,-0.1685588638709479,341,-1786.412521165848,121.47553730893605,152.0165788028601,0.11664574018557916,True
56,-17.854081050813093,2.191395795594538,-0.1732304287218013,342,-1785.4081050813093,219.13957955945398,152.01150316150225,0.12336457122201856,True
57,-17.83811617200584,3.203016648895801,-0.1711953941027156,343,-1783.811617200584,320.30166488958,151.8284493428507,0.11771436894337722,True
58,-17.80883271836771,4.17420430013382,-0.1711776676968338,344,-1780.8832718367712,417.420430013382,151.95103778039757,0.11771181577325696,True
59,-18.921111478897984,-2.1132227269245476,-0.1795574240556967,345,-1892.1111478897985,-211.3222726924546,151.53769304285342,0.1216482693420094,True
60,-18.938705813043104,-1.126770518641937,-0.1746663302912289,346,-1893.8705813043105,-112.67705186419357,152.03429266747162,0.11145869801506357,True
61,-18.86569428574544,-0.11125003342392148,-0.1753920870564193,347,-1886.5694285745442,-11.125003342391892,152.03551603291376,0.10505487285972484,True
62,-18.874611635890638,0.8637745731292554,-0.1763661763814711,348,-1887.4611635890637,86.3774573129258,152.1246091290602,0.12108710940486102,True
63,-18.872661351983975,1.8684485528755026,-0.1753993692874169,349,-1887.2661351983975,186.84485528755022,152.03536345569415,0.12055044441028032,True
