,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality,skew,skewx,skewy,kurtosis,kurtosisx,kurtosisy,ptskewx,ptskewy,ptkurtx,ptkurty,ptnormx,ptnormy
17,17,2021-03-12T02:02:30.345,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_214.fits,214,HD75519,RG610,ronchi170lpmm,1.0154975893216,5.0,0.0163727775216103,0.6089218258857729,742.75,11.7,49.0,0.8,200.0,1700.0,,,    ,1.0,1.0,9.6768830855836,2.5964047945439632,2.356566554027353,107.87556179706252,5.776720435605787,4.435716786573057,6.486016350443741e-21,5.074206729705375e-19,8.248301133142994e-09,1.9353975930405555e-07,4.725342253450709e-27,7.49369162594831e-24
18,18,2021-03-12T02:02:39.259,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_215.fits,215,HD75519,RG610,ronchi170lpmm,1.01547595807236,5.0,0.0363727770745754,0.6089218258857729,742.75,11.7,49.0,0.8,200.0,1700.0,,,    ,1.0,1.0,8.179923421215436,2.3365604770545096,2.1107318651368274,75.15983301986348,4.223974017377758,3.081190791042962,7.352014067515838e-19,5.2197764840150216e-17,3.3630488640651187e-07,9.06024770386942e-06,1.8431640828186533e-23,2.932385300339259e-20
19,19,2021-03-12T02:07:37.537,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_216.fits,216,HD75519,RG610,ronchi170lpmm,1.01492532512326,5.0,-0.263627231121063,0.6089218258857729,742.75,11.7,50.0,0.9,100.0,1700.0,,,skip,0.0,0.0,,,,,,,,,,,,
20,20,2021-03-12T02:07:46.520,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_217.fits,217,HD75519,RG610,ronchi170lpmm,1.0149136449487,5.0,-0.24362722039222698,0.6089218258857729,742.75,11.7,50.0,0.9,100.0,1700.0,,,skip,0.0,0.0,1.695565106343899,0.3405587746245567,0.3002653017403667,1.8658878277626902,-1.4830918645729363,-1.5700229638359209,0.14786792590899195,0.1998340270522756,6.866785364719043e-42,1.837492684084214e-126,4.1180310091660063e-41,2.426197567754402e-125
21,21,2021-03-12T02:07:56.080,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_218.fits,218,HD75519,RG610,ronchi170lpmm,1.01490156343272,5.0,-0.223627224564552,0.6089218258857729,742.75,11.7,50.0,0.9,100.0,1700.0,,,skip,0.0,0.0,2.060965731087528,0.4302823792369349,0.6015946150992242,3.5750954123036847,-1.4404802265791536,-1.0846983356080557,0.0709414916406063,0.014179948829504277,4.6744256737948034e-30,7.4656381874216656e-06,1.316646391289164e-29,2.1655643372310598e-06
22,22,2021-03-12T02:08:05.549,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_219.fits,219,HD75519,RG610,ronchi170lpmm,1.01488999946225,5.0,-0.203627228736877,0.6089218258857729,742.75,11.7,50.0,0.9,100.0,1700.0,,,skip,0.0,0.0,,,,,,,,,,,,
23,23,2021-03-12T02:08:14.673,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_220.fits,220,HD75519,RG610,ronchi170lpmm,1.01487898984601,5.0,-0.18362721800804102,0.6089218258857729,742.75,11.7,51.0,0.8,100.0,1700.0,,,skip,0.0,0.0,2.177667604014433,0.3265205077132478,0.8445078314468791,3.8133242146650046,-1.5860389047145067,-0.7938457804013148,0.16457365949758984,0.001044667362633582,1.3511210830137845e-187,0.017240516704075653,1.885241921572689e-186,0.0002721383901807853
24,24,2021-03-12T02:08:24.308,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_221.fits,221,HD75519,RG610,ronchi170lpmm,1.0148678834642901,5.0,-0.163627222180367,0.6089218258857729,742.75,11.7,51.0,0.8,100.0,1700.0,,,skip,0.0,0.0,2.516892770684137,0.5099577750377721,0.8824072407682245,6.115743833448493,-1.3218225403740949,-0.6872062350783366,0.0345845263984069,0.000680095419496479,4.083742869082414e-15,0.06463421364218623,4.3773263100477824e-15,0.0005650590131092281
25,25,2021-03-12T02:08:33.212,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_222.fits,222,HD75519,RG610,ronchi170lpmm,1.01485794041078,5.0,-0.14362722635269198,0.6089218258857729,742.75,11.7,51.0,0.8,100.0,1700.0,,,skip,0.0,0.0,,,,,,,,,,,,
26,26,2021-03-12T02:08:42.267,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_223.fits,223,HD75519,RG610,ronchi170lpmm,1.01484784415181,5.0,-0.12362722307443598,0.6089218258857729,742.75,11.7,51.0,0.8,100.0,1700.0,,,skip,0.0,0.0,,,,,,,,,,,,
