,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,number2,chi2,pwv,oz,grey,epwv,eoz,egrey
21,539,HD185975,2023-01-19T06:01:24.030493397Z,4.391498886093611,2.14230235345613,0,0,0,2023011800539,296.2244405443263,1751.4689208490956,0.4881910975022783,180.03627298356167,539,30.7617314802245,3.406566869962938,295.1952323966201,0.9897151295570614,0.020892314266982306,2.6096144869973714,0.00033146998353991106
22,540,HD185975,2023-01-19T06:02:06.849007613Z,4.403392917820277,2.14221198857076,0,0,0,2023011800540,294.11549810840035,1749.0467326417217,0.4744581137573147,180.15317994284274,540,4.8930696848343604,3.605117037128135,265.7925868218666,0.9920437661782188,0.06339706161079116,6.96828732604461,0.0008737216739476663
23,554,HD38666,2023-01-19T06:11:52.383000295Z,4.566041249120833,1.42493516996425,0,0,0,2023011800554,277.3468165643808,1725.4764070722974,0.2793709913646205,180.39846492164102,554,1232.070251391481,2.25728840370793,308.22968809730105,1.0135683868757206,0.012378714817432575,0.9158052583442354,7.690732824007523e-05
24,555,HD38666,2023-01-19T06:12:35.337502398Z,4.577973055260554,1.42868565575934,0,0,0,2023011800555,275.4305365411284,1724.5409105699837,0.28709622544261854,180.30402430856373,555,1615.9473747651414,1.34035148827196,329.9934451955265,1.0162265137848188,0.00809313220468897,0.7629869133949382,6.432553995763244e-05
25,573,HD38666,2023-01-19T06:23:26.100994609Z,4.7587406919858335,1.48905685445583,0,0,0,2023011800573,272.04203503177024,1725.6759481877875,0.27872992050383316,180.21586475445628,573,3715.6768725565826,2.5785711960990514,349.7196292411251,1.032860181792028,0.006493295913864356,0.4737552538011388,4.24908351255731e-05
26,581,HD38666,2023-01-19T06:28:06.724490437Z,4.836691663049166,1.51735057636452,0,0,0,2023011800581,276.52418557589436,1722.7771334220224,0.29871221037200696,180.44730551081406,581,749.6443953572285,1.7513162088691456,247.94740699231536,1.010858755107714,0.014832447002022063,1.1823270769078043,0.00010242582956631314
27,590,HD185975,2023-01-19T06:34:12.936009520Z,4.938417085016665,2.13677654279596,0,0,0,2023011800590,290.4801332976836,1750.4688819852684,0.47755278249192185,179.99463731829422,590,61.82244445656781,4.128249921797239,244.1265996316119,0.9818998491484542,0.02046268923117679,2.0663868689888725,0.0002658643642444222
28,591,HD185975,2023-01-19T06:34:55.795501837Z,4.950322499549166,2.13660803113005,0,0,0,2023011800591,289.6707163279999,1752.5112175140775,0.47987570218778824,180.00381586312335,591,103.29602836861629,3.8598949209626405,252.40003102599718,0.9846907228823466,0.014364278048632738,1.627254466184595,0.00020744437993082567
29,599,HD38666,2023-01-19T06:40:23.793491598Z,5.0414330522605555,1.59894557876108,0,0,0,2023011800599,272.348961670083,1720.76592218327,0.30747036424831,180.20832559431443,599,1103.575655886956,2.1983952600960857,218.94989925796736,0.9980500129141529,0.014096557007754158,1.0265601303357796,9.215107689702731e-05
30,600,HD38666,2023-01-19T06:41:06.618503182Z,5.053328888811665,1.60403553124128,0,0,0,2023011800600,277.9544893162104,1723.9053071773874,0.30241252401778207,179.79218295810497,600,517.2212521833286,3.4658324251081725,331.71511588757437,1.0029436279328714,0.019746864047490847,1.170522637778149,0.00010889222846211747
