,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,number2,chi2,pwv,oz,grey,epwv,eoz,egrey
21,451,HD185975,2023-01-18T05:53:57.701497241Z,0.8077316638188892,2.14339106173544,0,0,0,2023011700451,287.04235601430685,1757.5586000929413,0.44239472098660065,179.98907369203488,451,123.29179520748903,3.8388928495918626,377.8805703773913,0.9897846781493197,0.01740420852880529,2.151320651101295,0.00030319938980041095
22,452,HD185975,2023-01-18T05:54:40.536991623Z,0.8196304122583333,2.14332705885567,0,0,0,2023011700452,288.9405529881188,1756.7433689204977,0.4476773942698537,180.12762074640733,452,132.24702314475985,4.016802584596091,382.50208966426413,0.9857394853157178,0.018067322812312256,2.0596452937882046,0.000291839000327445
23,461,HD38666,2023-01-18T06:00:39.170494565Z,0.9192508297422219,1.35187214834548,0,0,0,2023011700461,261.6707323728858,1762.0498587320135,0.31339137740400774,180.07638092982828,461,1773.325887224459,4.603688961108516,463.1125022515731,1.0202737299649798,0.009579193316081133,0.9513408779264774,0.00010416373318418673
24,471,HD38666,2023-01-18T06:06:35.792502648Z,1.0183124986541667,1.37919112875624,0,0,0,2023011700471,276.20282662168194,1760.0913573373539,0.31551510806169997,180.16387511186153,471,642.5169670979084,4.84188672833411,442.25884694918,1.0152671923641479,0.015535435341056843,1.5411875242504982,0.0001714014091274928
25,472,HD38666,2023-01-18T06:07:18.605007839Z,1.0302048612072219,1.3825824062963,0,0,0,2023011700472,276.8604620048742,1760.3114943419848,0.31741368037521145,180.09814395811668,472,1167.2401550869333,4.7114093710465506,450.0101420492646,1.013393438066869,0.011313007245943758,1.135365426150872,0.00012527299421122884
26,480,HD38666,2023-01-18T06:12:04.315002242Z,1.1095687485413888,1.40587995307713,0,0,0,2023011700480,340.4675366034903,1732.0620129979893,0.32135815818579405,180.0166554198495,480,968.3034792271196,4.566588933484779,410.395766766071,1.0115054761235895,0.011609763481005243,1.1430726771259094,0.000128649616138198
27,481,HD38666,2023-01-18T06:12:47.129493145Z,1.121461662681111,1.40947324372876,0,0,0,2023011700481,331.7630434073484,1732.4446210349097,0.3248062016072715,180.36856742774114,481,1507.7616336568851,4.528311864800433,400.3704971401065,1.0151101694136548,0.009458580578100381,0.9327498932783077,0.00010532400695078455
28,490,HD38666,2023-01-18T06:17:58.811507745Z,1.2080400000699991,1.43642180277131,0,0,0,2023011700490,281.6594933401975,1758.5650863080123,0.33124451376044456,180.18832387943,490,711.4367039612888,4.5776571336012735,436.86344889268247,1.0153551301384625,0.01477976179411216,1.448184740181249,0.00016720806159197744
29,491,HD38666,2023-01-18T06:18:41.724002606Z,1.2199601375313889,1.4402628280288,0,0,0,2023011700491,287.0669242027041,1761.345290306904,0.330392648444255,179.3180453493593,491,744.6140473865944,4.659592131035463,455.24141529061586,1.0124533350021854,0.015437962834153546,1.5300789983415204,0.0001749645685682335
30,509,HD185975,2023-01-18T06:30:03.842005349Z,1.4094373605155552,2.13848939835791,0,0,0,2023011700509,288.49885676275585,1761.9028434384952,0.43786267951797425,180.0692636471261,509,171.8989699532161,3.3476412892713756,343.72661139561876,0.9870887794172172,0.012879444954987086,1.699502177221147,0.00024182819290586785
