idx,num,object,date_obs,airmass,temperature,pressure,humidity,reftime,eqw_h2o,eqw_h2o_2,eqw_h2o_3,eqw_o2,eqw_o2b,eqw_halpha,eqw_hbeta,eqw_hgamma,eqw_h2o_err,eqw_h2o_2_err,eqw_h2o_3_err,eqw_o2_err,eqw_o2b_err,eqw_halpha_err,eqw_hbeta_err,eqw_hgamma_err
12,00301,mu. Col,2022-03-18T01:22:49.144,1.191505368069865,9.0,743.45,56.0,0.5241930555555561,127.64684731190883,-10.165218247769406,-13.5945824501635,-4.664802064285811,0.6495333352847418,0.30832307615865095,-2.970115982051481,-3.9169451697543862,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
13,00310,mu. Col,2022-03-18T01:43:57.837,1.25822658979951,8.8,743.55,56.0,0.8766077777777799,117.66894899284858,10.462440821526194,16.067217546232296,26.697968035251403,10.92114808032995,4.256968442798886,2.3086841647288736,3.389562156106924,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
14,00316,mu. Col,2022-03-18T01:46:52.361,1.26858445121286,8.7,743.55,56.0,0.925086666666668,119.2996156394266,10.833900308180379,16.41258472617408,26.84614148904341,11.084309091730319,4.090345953342442,2.1933059267594834,3.263482483817086,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
15,00317,mu. Col,2022-03-18T01:47:25.256,1.27056341471374,8.7,743.55,56.0,0.9342241666666675,121.46844562359458,10.526617755680483,15.215177937709742,26.68710412626875,11.158370671593104,4.0295880858344,2.240620472896334,3.6355566719995656,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
16,00330,mu. Col,2022-03-18T01:53:46.736,1.294394244363805,8.6,743.5,56.0,1.040190833333333,117.84260242673875,10.368901283080268,16.09342604360835,26.962901519284035,11.164249308617997,4.047032111287619,1.9922903785607906,3.4031405695077424,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
17,00331,mu. Col,2022-03-18T01:54:19.724,1.29652271576687,8.6,743.5,56.0,1.0493541666666664,116.01414669228005,10.9659045103192,15.801762814156515,27.16860480960099,10.960758519807206,3.9945484487642178,2.1424202130388537,3.479544317217058,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
18,00338,mu. Col,2022-03-18T01:57:49.306,1.31035777011874,8.7,743.45,57.0,1.1075713888888883,116.04041662485785,10.536616569519746,17.155426541050844,27.81229043569776,11.399912697895855,4.1342581365307,2.0001078012253406,3.4087120588585136,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
19,00345,mu. Col,2022-03-18T02:01:19.196,1.324716687989025,8.6,743.45,59.0,1.1658741666666677,113.61502114024351,11.383094494217435,15.836820171384511,27.83188842029362,10.647588276955812,4.254579331347269,1.9437710857936092,3.623324836338434,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
20,00351,mu. Col,2022-03-18T02:04:16.794,1.33727547076682,8.5,743.45,58.0,1.2152069444444455,116.53339150594526,10.732774081076315,17.17440527702243,27.57255461094815,10.60954170804492,4.1356524151347225,1.825776465485484,2.8965418195133137,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
21,00352,mu. Col,2022-03-18T02:04:49.712,1.33963651479802,8.5,743.35,58.0,1.224350833333335,113.00701766457973,11.595633144535265,16.42933519605848,27.608698325787863,10.701302262741851,4.061292019687056,1.984308810712127,3.3124765722988263,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
22,00358,mu. Col,2022-03-18T02:07:49.074,1.352787300037425,8.4,743.4,59.0,1.2741736111111122,115.33558193589622,11.328411206539455,16.901623586620712,28.045927679715835,11.169752487241748,4.269065208132018,2.0420076273542636,3.4651728869965535,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
23,00365,mu. Col,2022-03-18T02:11:20.051,1.368765631503195,8.4,743.4,59.0,1.3327783333333336,114.53999386573828,11.385537686389434,16.9073377601078,28.00377832724677,10.446048216231167,4.048617807094046,1.9791375525373802,2.9507268270919917,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
24,00366,mu. Col,2022-03-18T02:11:53.006,1.371319339871885,8.4,743.45,59.0,1.3419325000000013,121.58229833674007,10.836407391158335,17.04856705865672,28.77719017503065,11.01850226848873,4.147578918911143,2.036849023560595,3.1867726798586933,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
25,00372,mu. Col,2022-03-18T02:14:46.798,1.38501167017706,8.4,743.45,61.0,1.390208055555556,110.36885646386204,11.978023614282574,16.369849149004047,28.752415945745888,10.371382171482505,4.132160526909402,2.1042045157698,3.371384752759475,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
26,00373,mu. Col,2022-03-18T02:15:19.743,1.387649936190795,8.4,743.45,61.0,1.3993594444444453,109.44172916190553,12.229366775791771,16.188249749533284,28.42714569347347,10.357649858718442,3.9415137996066223,2.0266783179657812,3.7191666664574483,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
27,00380,mu. Col,2022-03-18T02:33:33.012,1.48452422171666,8.0,743.35,63.0,1.703045277777778,112.2069623136825,12.45643458537974,17.067814277422812,30.194136279037025,10.36761491388443,4.147808698468702,1.9679441286660533,3.3094224601127626,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
28,00386,mu. Col,2022-03-18T02:36:30.874,1.50213593383469,8.1,743.45,64.0,1.7524513888888897,115.9918968016116,11.921517769121762,17.711836428633163,29.610243177400687,10.204943754351701,4.062982566334975,1.677063382655361,2.658050020868724,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
29,00387,mu. Col,2022-03-18T02:37:03.815,1.50545657928364,8.1,743.35,64.0,1.7616016666666665,113.25357744016625,12.361154730465811,18.311212709289983,30.52901915158795,9.978013021499194,4.031116491242412,1.7948861866495727,2.6811750040386912,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
30,00393,mu. Col,2022-03-18T02:40:00.839,1.523657512515415,8.0,743.4,64.0,1.8107749999999996,111.26901466712843,13.225560264792163,17.657941938887138,30.936503839954653,10.208218053773857,4.021110504201154,1.8991439301708788,3.38361413619745,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
31,00394,mu. Col,2022-03-18T02:40:33.787,1.527114954027915,8.0,743.4,64.0,1.8199272222222218,115.65217321346834,12.577649109087691,18.418024623353265,30.966918554772157,10.152772179548535,4.015415381655961,1.881970330075414,2.7182921145358914,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
32,00401,mu. Col,2022-03-18T02:44:05.105,1.54976447202586,8.0,743.45,64.0,1.8786266666666664,113.74397920546886,13.101471269626188,17.519638664216462,30.723235079633792,10.426847550710242,3.6756447029699406,2.0256432137926943,3.2868105495424653,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
33,00407,mu. Col,2022-03-18T02:47:02.835,1.56951976624838,8.0,743.4,64.0,1.9279961111111126,114.34688661011884,13.46524470101946,17.733507083176484,31.447602760493446,10.240122068961666,3.9494724024508616,2.118816666521472,3.3491935005698097,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
