idx,num,object,date_obs,airmass,temperature,pressure,humidity,reftime,eqw_h2o,eqw_h2o_2,eqw_h2o_3,eqw_o2,eqw_o2b,eqw_halpha,eqw_hbeta,eqw_hgamma,eqw_h2o_err,eqw_h2o_2_err,eqw_h2o_3_err,eqw_o2_err,eqw_o2b_err,eqw_halpha_err,eqw_hbeta_err,eqw_hgamma_err
13,00387,ETA1 DOR,2022-03-17T02:29:55.894,1.45328767059754,10.5,743.5,42.0,0.5089625,-12.682175203868955,-57.61306872897035,-24.920936745507692,-12.927048247935215,-5.925351019514137,-11.716390207936593,-4.564046850484175,-8.12623847333762,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
14,00393,HD111980,2022-03-17T02:34:01.617,1.48223934586322,10.5,743.5,42.0,0.5772188888888907,95.31666425369646,16.08119646746102,16.251784666455592,31.717806891004305,6.826795314742054,2.6039016947584313,0.5818464599600186,7.788552069782157,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
15,00400,ETA1 DOR,2022-03-17T02:38:42.076,1.475574427018825,10.5,743.5,43.0,0.655124166666667,-341.7887475012445,-60.424445404851085,-24.209794393750798,-12.786010866212544,-6.027494511903607,-11.995786183607127,-6.37601909221333,-10.186969123542877,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
16,00401,ETA1 DOR,2022-03-17T02:39:14.980,1.47700741434311,10.5,743.5,43.0,0.6642641666666682,1.1800526686073727,-51.21504270390418,-23.0935989229671,-13.310428489970977,-5.656382709232977,-11.485810856148634,-4.127359088081053,-11.882947887131094,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
17,00420,HD111980,2022-03-17T03:11:44.414,1.295018013271345,10.6,743.5,51.0,1.2057736111111117,107.02590027266106,16.809022581884292,12.044757907653683,28.985105660556634,7.565621414426477,3.256554385887595,0.6125583873679121,7.396737013480372,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
18,00421,HD111980,2022-03-17T03:12:17.424,1.29283121018776,10.6,743.5,51.0,1.2149430555555556,12146.570133019215,1290.569578303037,171570.30200737197,172.30142768442954,698.112715500021,-167582.2565545051,188.98885970953447,125.72760974810338,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
19,00427,HD111980,2022-03-17T03:15:14.374,1.28131705664123,10.7,743.5,50.0,1.264095833333335,72.49630804425794,-52.70671188422467,-10.436755849866259,-11.906382662493968,-6.421406113702424,-8.013925182922893,-2.593837743362473,-3.2181873738558684,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
20,00428,HD111980,2022-03-17T03:15:47.551,1.279213132458975,10.7,743.5,49.0,1.2733116666666664,-357.36448996071107,82.11120466539938,-1776.4893187761643,60.53853540164044,73.49611225093365,-12.18200625485046,-0.3116779189246286,-201.1063757612388,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
21,00434,HD111980,2022-03-17T03:21:35.700,1.25776542820004,10.7,743.5,49.0,1.3700197222222243,99.88579625682155,14.755485378207569,15.016979026347686,28.74264627408978,6.106782832402941,2.7835666627986067,0.44498479222052517,7.424249201800174,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
22,00435,HD111980,2022-03-17T03:22:08.720,1.25580240073014,10.7,743.5,49.0,1.379191944444444,98.17977600879505,16.1470677776422,16.729550828688375,28.774587752463027,6.317222216643056,2.9286933865386455,0.38852969867035664,6.055360696132003,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
