,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
40,40,20230131,444,2023013100444,59976.15411664352,2023-02-01 03:41:55.678,54.08162592979009,12.100371663786513,16288000.0,white,empty~holo4_003
41,41,20230131,435,2023013100435,59976.150298402776,2023-02-01 03:36:25.782,54.29735021600727,12.214726094925783,16288000.0,white,empty~holo4_003
42,42,20230131,474,2023013100474,59976.16904663194,2023-02-01 04:03:25.629,40.89545064397065,10.506047042628422,16288000.0,white,empty~holo4_003
43,43,20230131,475,2023013100475,59976.16954231481,2023-02-01 04:04:08.456,40.89707173111042,10.512446425282969,16288000.0,white,empty~holo4_003
44,44,20230131,735,2023013100735,59976.31313458333,2023-02-01 07:30:54.828,27.76158543298149,6.3303966692752445,16288000.0,white,empty~holo4_003
45,45,20230131,416,2023013100416,59976.141384918985,2023-02-01 03:23:35.657,374.76031463599116,75.36099507544363,16288000.0,white,empty~holo4_003
46,46,20230131,238,2023013100238,59976.04826016204,2023-02-01 01:09:29.678,413.125637304896,78.39588427170735,16288000.0,white,empty~holo4_003
47,47,20230131,513,2023013100513,59976.1882315162,2023-02-01 04:31:03.203,66.16709909124704,10.809156111669846,16288000.0,white,empty~holo4_003
48,48,20230131,368,2023013100368,59976.11790341435,2023-02-01 02:49:46.855,349.27211072919897,67.54020768978485,16288000.0,white,empty~holo4_003
49,49,20230131,417,2023013100417,59976.14188166667,2023-02-01 03:24:18.576,374.3302426802573,75.29623665593245,16288000.0,white,empty~holo4_003
50,50,20230131,329,2023013100329,59976.09888690972,2023-02-01 02:22:23.829,398.93284159967044,73.41010020166361,16288000.0,white,empty~holo4_003
51,51,20230131,219,2023013100219,59976.039898020834,2023-02-01 00:57:27.189,409.7421690030446,79.48038445569112,16288000.0,white,empty~holo4_003
52,52,20230131,754,2023013100754,59976.32733677083,2023-02-01 07:51:21.897,39.80266481552325,10.398340300648105,16288000.0,white,empty~holo4_003
53,53,20230131,505,2023013100505,59976.184907939816,2023-02-01 04:26:16.046,68.73129220012457,11.419676463549612,16288000.0,white,empty~holo4_003
54,54,20230131,639,2023013100639,59976.26105400463,2023-02-01 06:15:55.066,44.587802060014305,10.486016063634736,16288000.0,white,empty~holo4_003
55,55,20230131,378,2023013100378,59976.1228696875,2023-02-01 02:56:55.941,401.8272892808086,78.3588521826852,16288000.0,white,empty~holo4_003
56,56,20230131,281,2023013100281,59976.07602238426,2023-02-01 01:49:28.334,399.2426282274012,76.80930282030538,16288000.0,white,empty~holo4_003
57,57,20230131,553,2023013100553,59976.21959748842,2023-02-01 05:16:13.223,51.120568360690974,9.08594326200995,16288000.0,white,empty~holo4_003
58,58,20230131,395,2023013100395,59976.130238032405,2023-02-01 03:07:32.566,382.6413685913577,72.41269075194364,16288000.0,white,empty~holo4_003
59,59,20230131,320,2023013100320,59976.094794606484,2023-02-01 02:16:30.254,369.4806341594296,69.93880442430172,16288000.0,white,empty~holo4_003
60,60,20230131,228,2023013100228,59976.04400679398,2023-02-01 01:03:22.187,414.29740029191305,80.57072893790884,16288000.0,white,empty~holo4_003
61,61,20230131,695,2023013100695,59976.29065519676,2023-02-01 06:58:32.609,27.067757720982502,5.971957205682623,16288000.0,white,empty~holo4_003
62,62,20230131,337,2023013100337,59976.10243587963,2023-02-01 02:27:30.460,366.5764961154723,70.13143640794472,16288000.0,white,empty~holo4_003
63,63,20230131,625,2023013100625,59976.25274103009,2023-02-01 06:03:56.825,32.41879137834177,6.987161546229809,16288000.0,white,empty~holo4_003
64,64,20230131,483,2023013100483,59976.17335790509,2023-02-01 04:09:38.123,64.05306547674452,11.415578279846972,16288000.0,white,empty~holo4_003
65,65,20230131,638,2023013100638,59976.260557222224,2023-02-01 06:15:12.144,44.65692663732228,10.470746567383896,16288000.0,white,empty~holo4_003
66,66,20230131,561,2023013100561,59976.22340623842,2023-02-01 05:21:42.299,59.6947230818172,11.972143265214633,16288000.0,white,empty~holo4_003
67,67,20230131,484,2023013100484,59976.17385471065,2023-02-01 04:10:21.047,63.34654055193224,11.287984140455217,16288000.0,white,empty~holo4_003
